Pathway	Order	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	o__Enterobacterales	264.3341416257	26.7263585268	21.9823194291	0	0	0	2288.4068528141	0	6398.3382220569	1936.2961421745	858.998934163	1316.9171083923	244.7399737214	25.5161049564	66.6601055997	8.042990356	218.8287219283	1210.2276649192	0	561.9198154741	243.7054465457	903.8971398167	0	0	0	0	0	0	0	0	21.8196944829	0	125.4233937908	0	0	8265.81954519	1106.5341619327	32.9051955309	1459.9609100938	2952.7771841305	447.440427941	2674.7972017031	305.6394485261	66.9129500493	2361.2378305845	10221.8973894538	49.570504814	389.1730417723	746.7831331283	960.1403143665	0	2558.0627313786	0	0	247.8524901818	0	226.6404133338	70.4289751656	234.3621045293	101.4439933145	0	0	380.2659721799	112.2049399568	85.9297834861	26.3823779419	586.2679695103	2502.711322935	39.1568843045	151.33955965	326.3347808437	614.5284404332	517.7368360789	889.557973857	274.4381190255	0	315.7224300143	405.8202150416	86.66828852	8.0479633587	0	0	0	0	11.8001934525	18.6929280716	3973.4664951796	0	3192.3407277576	3664.270946875	0	1072.1439004058	0	1313.4768802233	1555.0767194075	1494.0141179158	47.1141460821	247.2977143438	339.3664687711	3953.5623798943	0	253.5269283451	0	64.9691643084	33.2978632233	7190.2940731442	8671.2847434349	87.485761128	0	83.6268456121	0	0	0	0	0	114.7757863899	0	0	0	0	0	284.6406186836	4362.3857818594	0	6246.0380471265	5521.7190383496	181.1954720052	123.4324440287	1591.0637896023	0	7796.3796394137	3196.0097351107	1172.7398158801	9212.226867285	670.6579148069	4593.8278515788	451.5652082617	0	3299.8820764052	2154.8329240863	102.1622682778	3257.7752448239	2235.5769699396	260.0570884991	47.4954358676	2511.2187454803	3743.2288778526	3071.3306633352	208.712661943	3996.9662471304	0	311.0953716271	14.8981914763	3120.0495481853	230.0124396173	337.4957267647	40.4174804468	3901.2920048335	1824.5060554245	863.3281488781	224.6240298661	1678.5343248051	174.7476942186	426.1612263535	476.4641180914	34.5504468262	0	79.8970432796	46.6984075	133.9805832545	24.7038239659	377.6770011935	155.869830582	454.9583346795	0	255.9412640505	374.6225000969	971.6119683878	446.0755300498	44.9575818002	0	30.3404443179
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	o__Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517.8157549689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.3253272568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.562515629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	207.3917034221	229.1021662813	255.4035896653	86.3873852838	12.1895204019	10.7185252514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5859684932	40.6272712005	0	0	0	0	48.8053354867	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	o__Enterobacterales	42.638042713	9.2132616114	12.393534605	0	0	0	310.5504614473	0	4414.1131652199	552.2499486867	167.6066517205	407.8417908158	39.0959413763	0	14.2017314154	6.4606578366	23.5083850209	170.4022668778	0	71.9420927055	20.7473996236	531.5864310995	0	0	0	0	0	0	0	0	0	6.9248210116	12.4591102547	0	0	2084.7196902493	273.3650758229	13.5309172235	157.2105697562	296.8755628836	56.4849866488	416.3306724896	50.8231745307	22.1844972565	469.2651945894	1424.9757801489	11.9528326412	54.7327219903	86.915350346	181.1634777974	0	347.4617011176	0	0	68.0475599753	0	40.4506365231	13.7275706021	29.6578644994	15.4769626994	0	0	50.6238751732	19.2724683672	5.4531887771	9.3509972676	64.4971757972	265.3845808065	0	27.7662409562	60.4768396227	72.9773253518	61.6311517681	152.7187380506	39.8801551803	0	26.2290872665	45.323029432	86.3343297668	1326.9201649626	0	0	0	0	4.8560495939	6.8339710317	449.6028078178	0	2314.9915198831	3562.4233806307	0	1002.0666655116	0	1214.6923312083	1358.502381733	1506.7804097913	25.7197247693	284.8526068759	46.4016962912	332.4511981568	0	37.2738943743	0	39.4587165211	5.145168004	200.707911968	669.5600281878	16.3330620701	0	58.231928638	0	0	0	0	0	9.0466397649	0	0	0	0	0	30.5542120284	743.5737824753	0	790.4169859125	763.3006949731	44.0920205583	11.0440681041	325.90946554	0	936.4645457917	303.2696881129	359.4453627283	1116.6386247543	235.4473345822	577.0412910883	80.8927039554	0	1399.6650937852	578.5795286585	99.7416499048	826.0849749586	1193.4061405077	32.1414861716	6.1775331469	586.1142826402	888.0707673544	1002.1384097533	40.1390409198	335.8417400158	0	29.9844928913	0	445.4798120321	10.5676462004	44.328695734	1.0409193574	1789.0332391716	337.4346258608	100.9141346906	30.0614155832	243.0153051522	16.8424623139	56.8167068945	77.0262456184	0	0	46.5451886108	39.5052455701	61.7329306716	6.1914078323	42.4222546839	18.6261573728	45.3203757011	0	50.3696323208	64.9085981187	93.8700259901	135.155734574	14.0478903317	0	8.7937875349
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Bacteroidales	6.0131319075	0	122.1716515226	0	0	7.9972473269	0	17.8215368598	0	0	0	0	0	0	0	52.9254681552	133.8229907217	0	0	0	18.9798114322	0	91.5282768028	0	0	0	0	27.3197758483	34.857514703	243.8460070587	91.0670180388	184.5717628735	84.1656994054	1104.3426263231	283.2315794266	0	0	0	13.2977145034	0	36.5108751455	44.1679894811	40.2777536929	121.0261144316	90.9661867815	0	0	0	0	0	37.0403275746	0	19.9852785179	113.4138402758	0	16.2491736015	0	0	108.4209155234	0	0	8.7870403092	0	0	0	0	163.7195708968	79.2856625359	0	30.502502971	60.6626640161	60.0120461809	137.6162133804	82.2396923135	13.8357861951	0	0	21.6789322102	77.9689724873	0	275.0766780245	384.6944331192	165.6481333049	54.9484516539	141.5200490407	507.4098511653	18.3116021462	119.6946758525	0	0	0	0	0	0	0	0	0	0	0	335.0496682888	0	0	0	0	0	0	0	0	0	0	0	20.0435340188	26.6931390511	8.8907317759	48.0602484627	0	170.6416592502	6.9807299598	0	94.6951339979	33.3629463295	211.992694562	0	0	0	0	0	0	0	104.440622583	0	0	0	0	0	0	0	266.1595174216	0	0	0	0	0	162.5736330929	0	0	0	0	36.7019529581	0	95.5489528764	62.3425653731	2.2262285976	0	252.1753856371	35.4708752071	0	0	0	0	0	0	0	0	0	68.9459949957	96.3204119738	80.3564581509	244.0647922494	49.5154239754	319.7377361117	21.7329733918	8.5187453976	4.8636785117	0	15.8417506946	40.6631549443	0	0	36.1863605047	450.5061888104	377.3311968061
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Burkholderiales	16.5844983476	0	69.2700350129	24.3417559224	13.3355389397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.8309303576	10.1849497472	0	0	0	0	0	0	0	0	0	25.8145395093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3699345457	0	0	0	0	0	0	68.0030367963	0	98.6139258322	16.7424932519	0	0	0	0	0	0	0	26.1157241688	0	0	14.5086767007	15.9886112273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.5281979827	0	0	0	0	0	0	0	24.4766611668	21.5220002042	0	0	8.5642813333	13.9143582572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2840492234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1800330165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Enterobacterales	177.2257611201	28.2339756452	18.6468806734	0	0	0	1127.5162840854	0	4025.0288760297	1258.6466867839	635.0615359531	901.6298691151	168.2974085237	14.5471363004	49.4389682005	0	140.0421065056	714.6736166449	0	306.1289745915	144.4354962089	721.3724660491	0	0	0	0	0	0	0	0	21.3784339347	6.6521335112	122.7196571006	0	0	6370.6199391876	860.3935184332	23.9573101149	949.5400617559	1850.7033236413	299.5771206988	1862.0735815087	200.4879532518	55.2269031684	1495.619614458	6609.6616404347	31.7653210144	267.7424786844	443.8932573427	691.1928085126	0	1852.2277334758	0	0	241.6905585172	0	162.9414814339	42.6174149801	167.1028592403	71.8729832749	0	0	250.4193047526	63.5278192833	50.5522780049	16.1292172171	388.6273910957	1618.7318129939	27.0782344175	133.0436353266	212.4352212231	428.7171925795	316.0290938804	581.4370178828	224.2887163176	0	233.6827037815	265.8184581906	41.5581667093	1185.7008838023	0	0	0	0	13.7931789029	31.6466311253	2681.9437595667	0	1917.7313463548	1817.6969751959	0	620.3460424064	0	651.0772011459	932.178631054	1259.1423478963	40.2668138057	203.8321871158	263.3362917973	2216.9477385387	0	127.0386597148	0	38.2576987246	19.5563653777	3873.6694076518	5197.9722097739	53.545487444	0	57.3977784209	0	0	0	0	0	80.847662195	0	0	0	0	0	242.0381769728	2885.8521789598	0	3482.5565050213	2935.9424782219	163.8792461105	73.6310375748	1206.0295648063	0	4605.5395566944	1826.5122096795	653.4323267113	5329.542116246	497.0233900436	2750.4110361955	271.5500643644	0	2413.6827419845	1796.9608051514	73.651987125	2653.0188658765	1185.0378461671	182.4550063156	37.5521117677	1600.993885071	3199.1437434326	2740.6048686012	149.8048690608	2218.7803326576	0	160.4511588874	9.3942069998	1919.6117944853	163.2618432074	194.6364526891	24.52287745	3302.0096868982	1064.2585549384	520.1558404715	135.1305214843	1036.4619548433	108.5292103516	272.8123992377	293.557756414	29.5834018296	0	39.5934431997	34.8965900408	127.1694049713	23.9254173258	169.3784826117	76.9016947018	279.9667750922	0	236.7616302403	205.2933193632	539.0117294718	235.9126696001	54.1374655633	0	19.8256569971
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.209838088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.536626535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Pasteurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4391179894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2737677156	0	0	0	0	0	0	0	0	0	0	0	0	141.7790968795	0	51.5701941132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.569215971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	o__Proteobacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1375498841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.4029905894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.9867280625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.8361008115	43.6475113933	0	0	30.0813710817	56.991541437	9.6684392323	0	42.451559539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Acidaminococcales	37.5945274594	0	102.201847456	0	12.3510538612	12.4443849833	0	16.9159890803	0	0	0	0	0	0	0	50.8883886323	108.8974927275	15.0087851704	66.4377138072	0	10.0803653997	0	0	0	0	0	0	0	0	0	18.1791699624	49.1664408455	52.9223342274	25.1540490563	33.715409376	0	0	0	0	0	0	81.5179217639	150.9896709168	445.1335114234	0	215.9728882073	0	0	0	0	48.7726025262	0	8.0901201034	88.466595308	0	58.1893213143	287.5035684277	0	664.3643074756	321.9990860595	50.0843681658	234.8917446821	714.4999316311	0	392.8358859919	0	0	0	0	0	0	0	0	0	0	0	166.1011933815	204.2553531305	195.7429147539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.2957080357	0	0	72.6784372046	75.7555883737	31.612779814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.9605882334	0	0	0	0	0	0	0	99.8358899237	142.8793350373	0	0	72.7502627295	92.4879956206	0	0	0	0	0	0	0	0	99.1813084526	101.8620519031	181.8564731407	199.6813466425	188.233953999	145.9747892077	12.9952090216	16.9653194901	0	0	53.9969831419	192.161445308	59.9415627138	44.4123101286	196.5831740396	28.7240194949	143.9912571684
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Actinomycetales	0	0	0	3.1746412381	0	0	0	0	51.8320928364	86.19518967	0	12.6981213505	0	0	4.2528259079	0	0	17.7301824817	0	95.7506242499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4541846551	16.2315407466	0	0	9.7407393226	0	0	0	0	0	11.9200590641	0	8.1575871229	0	0	37.5671546873	15.6693775167	104.3309452702	12.6586608535	42.4896107056	0	32.8567534206	25.8031642704	167.2432112432	35.8441960775	191.6862577892	0	25.9472324033	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3309384628	11.8990912461	0	0	13.5709837054	0	0	0	0	5.5100825172	41.8531382605	23.6607139851	24.7014784267	17.7739893767	0	22.9737810917	57.7855041432	0	0	0	0	17.4006767375	0	0	0	7.5096627172	0	0	0	0	0	0	0	0	0	33.7284406288	0	12.8530670314	5.3222820062	0	2.0593754969	0	0	0	85.3662754345	0	16.317828871	8.4678599156	44.2980152346	0	0	0	0	0	6.2466473287	0	0	96.2183231182	0	0	0	0	8.6901623307	0	0	0	0	0	10.5052221685	0	0	0	0	0	42.0314450836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6062967261	8.5499047563	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Bacteroidales	0	0	605.6904723364	0	10.3456224635	27.2885935822	15.9273861944	56.5352283296	0	0	0	0	0	0	0	365.0467583815	581.9709051204	33.9056666472	4.7203759683	0	28.5836370653	128.0168440223	377.9031619482	0	0	91.5960512832	62.4085089251	179.0999781074	129.9278905923	625.3270400842	496.8014322297	824.3615794614	410.9097497285	2415.8484259952	1589.3909740073	0	0	0	37.3061396715	8.1112141608	489.6013128861	160.2003085842	447.2039734758	466.6242718638	166.9426647458	0	8.2477464702	26.5328129453	0	0	1635.0069481897	5.3406158235	236.1021786283	941.3434160271	0	452.5198711555	83.5965433217	0	726.1091931393	0	0	153.8421488636	206.9984146823	0	162.7512078958	243.2690860183	329.7084144362	382.6475676311	84.0622928283	335.5002919028	228.9628164782	663.7357640636	673.2485985585	427.1627748373	81.0730038488	27.5891808722	0	182.0396696043	213.2296903901	0	1102.1463185574	1380.8625454296	556.2422574241	175.7733664641	905.4535202877	1599.0626294891	645.3879649276	446.917259712	0	0	0	0	0	0	0	0	386.885684116	0	225.1654810828	825.8490140647	600.1680600157	125.512825892	1205.6745068902	0	54.6434703305	0	0	30.3560299844	1109.9451923623	0	0	129.1113955799	237.8851877641	63.1264251696	428.3380178186	168.2016114054	628.2451365405	21.7055541083	12.7921184908	485.3608997552	103.4524113643	1370.872911112	0	34.5069272907	0	0	0	102.842371441	0	533.7704970052	51.7703511532	69.9554925942	156.0179447109	0	120.931248125	0	8.183199077	1489.3209350937	0	0	0	0	0	1306.6465792136	119.1323443138	0	0	0	841.0818724291	410.9443049358	1218.9014815842	1058.5422274147	171.4561215511	496.0838621642	1594.3918827942	325.0010651681	50.6410458164	120.9292302112	123.6996753952	17.6699796388	24.8574343773	25.6303755886	361.4285002008	618.1265679008	0	703.225621609	381.2566073419	193.575983901	411.0376687646	149.9474171437	491.7874249312	16.1731104319	9.5041747722	0	0	46.7597660031	223.2440286685	7.7763189361	19.7812652298	172.918070247	1424.9663486057	1138.6210088403
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Bifidobacteriales	112.3518029903	464.464204894	171.9800833441	166.952403866	790.8764325507	57.1855638156	56.4211398456	719.2540585459	0	375.5757027573	1336.9108623815	644.419848059	305.1198812786	13.9252766228	70.9357776139	44.1543168754	2347.5263501744	2674.126265254	124.3461790115	5193.8275012675	57.3176950668	1852.4487494252	0	37.9741342597	0	5479.3560747298	4127.6392970487	30.5310700567	37.1580041877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566.4355391285	18.2701684534	0	1551.3793719418	3848.8887721147	4315.3023581956	0	2306.0092272205	71.122952242	49.6935496758	3336.6591208876	193.5764226047	0	1692.1254231913	0	0	0	1767.7570610403	0	1575.7392718172	0	778.6338808356	643.1433179357	1845.6772543651	5091.1795321186	2876.1074513297	53.0110721093	2143.9903748778	0	0	742.9812712317	530.4243777278	63.1946890023	36.4218883731	30.7443417276	0	466.415252582	101.185342928	120.9536559003	182.1456657512	269.1110815555	293.8849274107	384.341364483	574.1655259996	0	0	0	0	0	0	0	0	95.3399889112	0	206.2625107875	0	133.8782570837	1002.440706206	314.2527067902	0	7.3936053125	50.9290939677	586.489826706	543.3851853126	568.4861836687	0	862.9604034684	0	0	0	0	0	0	0	0	0	0	22.0794188532	1255.7697378772	78.2358153399	805.6699010786	2437.109623048	2058.2815599064	47.3303946979	0	1550.5880495791	0	254.3446782127	288.9809304188	0	729.3008643795	0	635.5337961799	207.9119836119	0	0	6233.5854063861	0	5019.2784629159	174.6901016542	39.6106946073	6064.3971579442	0	0	1963.6307686791	42.8540215792	2039.2099401617	209.6564955281	0	114.5620111157	68.8126422727	140.9505585711	31.3147870496	0	0	0	2224.8419197146	0	0	0	0	64.8161058881	21.674907919	26.2057642019	263.4229099223	1979.0582275057	55.4009542202	3931.4616886865	3317.0508698644	0	129.1182354105	3220.5335975662	2187.115361614	1762.5972764878	3959.1177381085	1494.0586923566	856.4770132881	1166.7104998644
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Burkholderiales	25.5586126895	0	79.2248661922	22.6954885861	19.1241264131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4775585739	42.8088353677	20.3907778707	0	0	0	0	0	0	0	0	0	22.8743235464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5740252368	0	9.184226275	0	0	0	0	77.9793878551	0	104.8207299473	20.1116497041	0	0	0	0	0	0	8.92493942	22.035878019	0	0	0	20.1381028972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.1514552133	0	0	0	0	0	0	0	27.2861496614	18.700615197	0	0	0	14.3081118121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.8080094876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
